month_idx,month,f1,n_test,fixed_f1
7,aug,0.37697516930022573,6178,0.46601178781925345
8,sep,0.718052738336714,570,0.46601178781925345
9,oct,0.48945147679324896,718,0.46601178781925345
10,nov,0.4867021276595745,4101,0.46601178781925345
11,dec,0.6233766233766234,182,0.46601178781925345
