dataset,variant,brier,roc_auc,avg_precision
Credit Risk,lr_uncalibrated,0.15598242316801567,0.8042666666666667,0.6508419990222502
Credit Risk,lr_sigmoid,0.15709728476218401,0.8054857142857142,0.6578332252146957
Credit Risk,lr_isotonic,0.15957576450593086,0.8009142857142857,0.655262326252636
Credit Risk,rf_uncalibrated,0.16342977777777778,0.7941714285714285,0.6027184598822566
